dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy
T9956,880,MEGANE TROPHY,,2011 NEW MODELS,,2011,16/50,,,,,PDigwodDLwByNXtBS
T9972,1004,HONDA S2000,,2011 NEW MODELS,,2011,20/50,,,,,PDigwodDLwByNXtBS
T9972,910,HONDA S2000,,2011 NEW MODELS,,2011,20/50,,,,,PDigwodDLwByNXtBS
T9973,856,69 SHELBY GT-500,,2011 NEW MODELS,,2011,21/50,,,,,PDigwodDLwByNXtBS
T9982,922,68 COPO CAMARO,,2011 NEW MODELS,,2011,25/50,,,,,PDigwodDLwByNXtBS
V0003,864,71 MAVERICK GRABBER,,STREET BEASTS '11,,2011,1/10,,,,,PDigwodDLwByNXtBS
V0020,846,OFF TRACK,,THRILL RACERS- DESERT ,,2011,1/6,,,,,PDigwodDLwByNXtBS
V0023,876,MINI CHALLENGE,,2011 NEW MODELS ,,2011,30/50,,,,,PDigwodDLwByNXtBS
V0029,870,FORD ANGLIA PANEL TRUCK,,HW PERFORMANCE '11,,2011,8/10,,,,,PDigwodDLwByNXtBS
V0031,1021,47 WILLYS,,HW RACING '11,,2011,2/10,,,,,PDigwodDLwByNXtBS
V0032,1035,DIXIE CHALLENGER,,HW MAIN STREET '11,,2011,5/10,,,,,PDigwodDLwByNXtBS
V0034,920,VOLKSWAGEN BRASILIA,,2011 NEW MODELS,,2011,8/50,,,,,PDigwodDLwByNXtBS
V0044,854,LAMBORGHINI GALLARDO LP 570-4 SUPERLEGGERA,,2011 NEW MODELS,,2011,9/50,,,,,PDigwodDLwByNXtBS
V0047,954,ASTRO FUNK,,2011 NEW MODELS,,2011,27/50,,,,,PDigwodDLwByNXtBS
V3903,1002,VOLKSWAGEN BEETLE,,CLOVER CARS,GREEN,2011,6/6,,,,,PDigwodDLwByNXtBS
V5210,890,TOYOTA LAND CRUISER FJ40,,HW PERFORMANCE '11,,2011,3/10,,,,,PDigwodDLwByNXtBS
V5211,908,VOLKSWAGEN TYPE 181,,FASTER THAN EVER '11,,2011,10/10,,,,,PDigwodDLwByNXtBS
V5218,844,68 EL CAMINO,,MUSCLE MANIA,,2011,4/10,,,,,PDigwodDLwByNXtBS
V5224,960,AMC GREASED GREMLIN,,HW PERFORMANCE '11,,2011,7/10,,,,,PDigwodDLwByNXtBS
V5556,1011,53 FORD MUSTANG II CONCEPT,,2011 NEW MODELS,,2011,14/50,,,,,PDigwodDLwByNXtBS
V5557,904,63 STUDEBAKER CHAMP,,2011 NEW MODELS,,2011,29/50,,,,,PDigwodDLwByNXtBS
V9461,996,HONDA S2000,,2011 NEW MODELS,,2011,20/50,,,,,PDigwodDLwByNXtBS
X0092,932,NISSAN SKYLINE H/T 2000GT-R,,2011 NEW MODELS,,2011,22/50,,,,,PDigwodDLwByNXtBS
X8311,665,DAIRY DELIVERY,,THE MUPPETS,,2012,,,,,,PDigwodDLwByNXtBS
X8318,659,59 CHEVY DELIVERY,,THE MUPPETS,,2012,,,,,,PDigwodDLwByNXtBS
X8321,661,BAJA BREAKER,,THE MUPPETS,,2012,,,,,,PDigwodDLwByNXtBS
X8322,657,SUPER VAN,,THE MUPPETS,,2012,,,,,,PDigwodDLwByNXtBS
X8323,663,MIDNIGHT OTTO,,THE MUPPETS,,2012,,,,,,PDigwodDLwByNXtBS
X8350,655,34 FORD SEDAN DELIVERY,,THE MUPPETS,,2012,,,,,,PDigwodDLwByNXtBS
V5293,850,BMW M3 GT2,,2012 NEW MODELS,WHITE,2012,5/50,,X,,,PDigwodDLwByNXtBS
V5300,978,12 LAMBORGHINI AVENTADOR,,2012 NEW MODELS,,2012,12/50,,,,,PDigwodDLwByNXtBS
V5306,583,BMW Z4 M,,2012 NEW MODELS,WHITE,2012,18/50,,X,,,PDigwodDLwByNXtBS
V5309,934,BMW 2002,,2012 NEW MODELS,ORANGE,2012,21/247,,,,,PDigwodDLwByNXtBS
V5314,984,PORSCHE BOXSTER SPYDER,,2012 NEW MODELS,,2012,26/50,,,,,PDigwodDLwByNXtBS
V5319,988,MAZDA RX-7,,2012 NEW MODELS,,2012,31/50,,,,,PDigwodDLwByNXtBS
V5324,936,BENTLEY CONTINENTAL SUERSPORTS,,2012 NEW MODELS,,2012,36/247,,,,,PDigwodDLwByNXtBS
V5396,613,FORD GTX1,,FASTER THAN EVER '12 ,,2012,,,,,,PDigwodDLwByNXtBS
V5396,970,FORD GTX1,,FASTER THAN EVER '12,,2012,8/10,,,,,PDigwodDLwByNXtBS
V5398,948,DATSUN BLUEBIRD 510,,FASTER THAN EVER '12,,2012,2/10 ,,,,,PDigwodDLwByNXtBS
V5424,1043,LAMBORGHINI REVENTON,,HW ALL STARS,,2012,1/10,,,,,PDigwodDLwByNXtBS
V5424,986,LAMBORGHINI REVENTON,,HW ALL STARS '12,,2012,1/10,,,,,PDigwodDLwByNXtBS
V5426,878,ASTON MARTIN ONE-77,,HW ALL STARS,,2012,3/10,,,,,PDigwodDLwByNXtBS
V5428,1008,FERRARI 599XX,,HW ALL STARS '12,,2012,5/10,,,,,PDigwodDLwByNXtBS
V5431,1023,LAMBORGHINI ESTOQUE,,HW ALL STARS '12,,2012,8/10,,,,,PDigwodDLwByNXtBS
V5432,677,09 FORD FOCUS RS,,HW ALL STARS,,2012,9/10,,,,,PDigwodDLwByNXtBS
V5459,906,VOLKSWAGEN BRASILIA,,HEAT FLEET '12,,2012,5/10,,,,,PDigwodDLwByNXtBS
V5459,950,VOLKSWAGEN BRASILIA,,HEAT FLEET '12,,2012,5/10,,,,,PDigwodDLwByNXtBS
V5488,858,FLIGHT '03,,THRILL RACERS- RACE COURSE '12,,2012,4/5,,,,,PDigwodDLwByNXtBS
V5493,894,MITSUBISHI PAJERO,,THRILL RACERS- SWAMP RALLY '12,,2012,4/5,,,,,PDigwodDLwByNXtBS
V5502,974,CITROEN C4 RALLY,,THRILL RACERS - CITY STUNT '12,,2012,3/5,,,,,PDigwodDLwByNXtBS
V5513,992,68 EL CAMINO,,THRILL RACERS - BEACH '12,,2012,4/5,,,,,PDigwodDLwByNXtBS
V5565,900,FORD GTX1,,FASTER THAN EVER '12,,2012,8/10,,,,,PDigwodDLwByNXtBS
V5567,1033,FERRARI 458 ITALIA,,HW ALL STARS '12,,2012,10/10,,,,,PDigwodDLwByNXtBS
V5569,683,FORD FALCON RACE CAR,,2012 NEW MODELS,,2012,4/50,,,,,PDigwodDLwByNXtBS
V5578,609,DATSUN BLUEBIRD 510,,FASTER THAN EVER '12 ,,2012,,,,,,PDigwodDLwByNXtBS
V5613,938,BMW Z4 M,,2012 NEW MODELS,BLACK,2012,18/247,,X,,,PDigwodDLwByNXtBS
V5626,679,SUBARU WRX STI,,2012 NEW MODELS,,2012,33/50,,,,,PDigwodDLwByNXtBS
BGJ68,669,2008 TESLA ROADSTER,,HW SHOWROOM,CHARCOAL,2013,6/6,,X,Scavenger hunt,,PDigwodDLwByNXtBS
BDR42,IMG_20150627_203421,69 BOSS 302,,COOL CLASSICS,TURQUOISE,2014,21/30,,,,,PDigwodDLwByNXtBS
BDR43,1126,84 HURST OLDS,,COOL CLASSICS,GOLD,2014,22/30,,,,,PDigwodDLwByNXtBS
BDR44,1078,HONDA S2000,,COOL CLASSICS,GOLD,2014,23/30,,,,,PDigwodDLwByNXtBS
BDR45,1080,FORD GT,,COOL CLASSICS,SILVER,2014,24/30,,,,,PDigwodDLwByNXtBS
BDR46,1082,65 VOLKSWAGEN FASTBACK,,COOL CLASSICS,RED,2014,25/30,,,,,PDigwodDLwByNXtBS
BDD07,1074,BMW E36 M3 RACE,,HW RACE 2014 - TRACK ACES,WHITE,2014,9/10,,,,,PDigwodDLwByNXtBS
BDT89,IMG_20150717_181247.jpg,1987 TOYOTA PICKUP,,BACK TO THE FUTURE,BLACK,2014,,,X,,,PDigwodDLwByNXtBS
BFC43,1068,MAZDA RX-7,,HW CITY 2014 - NIGHT BURNERZ,,2014,1/10,,,,,PDigwodDLwByNXtBS
BFC44,585,TOYOTA SUPRA,,HW CITY 2014 - NIGHT BURNERZ,BLUE,2014,2/10,,X,,,PDigwodDLwByNXtBS
BFD19,IMG_20150706_211211.JPG,FIG RIG,,HW RACE 2014 - HW RACE TEAM,BLUE,2014,,,,,,PDigwodDLwByNXtBS
BFD84,IMG_20150722_204303.jpg,1971 MUSTANG MACH 1,,HW CITY 2014 - MUSTANG 50TH,GOLD,2014,,,,,,PDigwodDLwByNXtBS
BFF99,1089,ASTON MARTIN 1963 DB5,,HW WORKSHOP - HW ALL STARS,SILVER,2014,10/10,,X,JAMES BOND 007 GOLDFINGER,,PDigwodDLwByNXtBS
CFL78,IMG_20150708_202248.jpg,PORSCHE 911 GT3 RS,,HW WORKSHOP 2015 - NIGHT BURNERZ,RED,2015,,,,,,PDigwodDLwByNXtBS
CFV00,IMG_20150701_CFV00,63 MUSTANG II CONCEPT,,HAPPY FATHER'S DAY,BLUE,2015,,,,,,PDigwodDLwByNXtBS
CFV02,IMG_20150701_CFV02,CUSTOM'11 CAMARO,,HAPPY FATHER'S DAY,COPPER,2015,,,,,,PDigwodDLwByNXtBS
CFV03,IMG_20150701_CFV03,POISON ARROW,,HAPPY FATHER'S DAY,PURPLE,2015,,,,,,PDigwodDLwByNXtBS
CFV05,IMG_20150701_CFV05,CORVETTE C6,,HAPPY FATHER'S DAY,TURQUOISE,2015,,,,,,PDigwodDLwByNXtBS
CFG82,IMG_20150711_205457.jpg,BATMAN: ARKHAM KNIGHT BATMOBILE,,HW CITY 2015 - BATMAN,BLACK,2015,1/5,,,BATMAN: ARKHAM KNIGHT,,PDigwodDLwByNXtBS
CFG96,IMG_20150701_CFG96,GT HUNTER,,HW RACE 2015 - HW RACE TEAM,BLUE,2015,5/10,,,,,PDigwodDLwByNXtBS
CFG97,IMG_20150701_CFG97,WINNING FORMULA,,HW RACE 2015 - HW RACE TEAM,BLUE,2015,10/10,,,,,PDigwodDLwByNXtBS
CFG99,IMG_20150627_203544,SRT VIPER GTS-R,,HW RACE 2015 - WORLD RACE,SILVER,2015,5/10,,,,,PDigwodDLwByNXtBS
CFH01,IMG_20150706_211153.JPG,CORVETTE C7.R,,HW RACE 2015 - WORLD RACE,YELLOW,2015,10/10,,X,"#4 won Le Mans in 2015, #3 was out due to wreck",,PDigwodDLwByNXtBS
CFH03,IMG_20150718_152813.jpg,TESLSA MODEL S,,HW WORKSHOP 2015 - HW GARAGE,SILVER,2015,,,,,,PDigwodDLwByNXtBS
CFH22,IMG_20150722_204352.jpg,69 DODGE CHARGER 500,,HW CITY 2015 - HW PERFORMANCE,BLUE,2015,,,,,,PDigwodDLwByNXtBS
CFH36,IMG_20150717_181435.jpg,09 CORVETTE ZR1,,HW CITY 2015 - HW PERFORMANCE,BLUE,2015,,,,GULF LIVERY,,PDigwodDLwByNXtBS
CFH38,IMG_20150711_205519.jpg,8 CRATE,,HW WORKSHOP 2015 - HW GARAGE,MAROON,2015,,,,,,PDigwodDLwByNXtBS
CFH39,1058,70 CHEVY CHEVELLE ,,HW WORKSHOP 2015 - SPEED TEAM,NAVY,2015,,,,,,PDigwodDLwByNXtBS
CFH41,IMG_20150722_204456.jpg,69 FORD MUSTANG BOSS 302,,HW WORKSHOP 2015 - SPEED TEAM,ORANGE,2015,,,,,,PDigwodDLwByNXtBS
CFH45,IMG_20150627_203609,BENTLEY CONTINENTAL SUPERSPORTS,,HW WORKSHOP 2015 - SPEED TEAM,MAROON,2015,2/5,,,,,PDigwodDLwByNXtBS
CFH46,IMG_20150627_203449,CUSTOM '77 DODGE VAN,,HW CITY 2015 - HW PERFORMANCE,YELLOW,2015,10/10,,,,,PDigwodDLwByNXtBS
CFH47,1086,67 AUSTIN MINI VAN,,HW CITY - HW ART CARS,,2015,2/5,,,,,PDigwodDLwByNXtBS
CFH48,IMG_20150711_205110.jpg,83 CHEVY SILVERADO,,HW CITY 2015 - HW PERFORMANCE,ORANGE,2015,6/10,,,,,PDigwodDLwByNXtBS
CFH49,IMG_20150711_205415.jpg,71 EL CAMINO,,HW CITY 2015 - HW PERFORMANCE,BLACK,2015,,,,,,PDigwodDLwByNXtBS
CFH64,IMG_20150722_204205.jpg,U.S.S. ENTERPRISE NCC-1701,,HW CITY 2015 - HW SPACE TEAM,WHITE,2015,,,,,,PDigwodDLwByNXtBS
CFH77,IMG_20150711_205352.jpg,68 MERCURY COUGAR,,HW RACE 2015 - TRACK ACES,BLUE,2015,,,,,,PDigwodDLwByNXtBS
CFH83,IMG_20150701_CFH83,FERRARI 599XX,,HW WORKSHOP 2015 - THRILL RACERS,GREY,2015,,,,,,PDigwodDLwByNXtBS
CFH87,IMG_20150627_203518,90 HONDA CIVIC EF,,HW WORKSHOP 2014 - NIGHT BURNERZ,BLACK,2015,2/10,,,,,PDigwodDLwByNXtBS
CFH93,IMG_20150717_181329.jpg,55 CHEVY BEL AIR GASSER,,HW WORKSHOP 2015 - HEAT FLEET,ORANGE,2015,,,,,,PDigwodDLwByNXtBS
CFH95,IMG_20150711_205544.jpg,PASS 'N GASSER,,HW WORKSHOP 2015 - HEAT FLEET,BLUE,2015,,,,,,PDigwodDLwByNXtBS
CFJ08,IMG_20150722_204435.jpg,69 CHEVELLE SS 396,,HW WORKSHOP 2015 - MUSCLE MANIA,WHITE,2015,,,,,,PDigwodDLwByNXtBS
CFJ17,IMG_20150707_215459.jpg,CUSTOM '12 FORD MUSTANG,,HW WORKSHOP 2015 - HW DRIFT RACE,FALKEN,2015,,,X,Falken Tire livery,,PDigwodDLwByNXtBS
CFJ18,IMG_20150711_205307.jpg,69 CAMARO,,HW WORKSHOP 2015 - THEN AND NOW,WHITE,2015,1/10,,,,,PDigwodDLwByNXtBS
CFJ51,1072,COCKNEY CAB II,,HW CITY 2015 - HW CITY WORKS,BLUE,2015,8/10,,,,,PDigwodDLwByNXtBS
CFJ54,IMG_20150706_211228,THE VANSTER,,HW RACE 2015 - HW RACE TEAM,BLUE,2015,3/10,,,,,PDigwodDLwByNXtBS
CFJ61,IMG_20150707_215434.jpg,BMW E36 M3 RACE,,HW RACE 2015 - WORLD RACE,BLACK,2015,,,X,,,PDigwodDLwByNXtBS
CFJ74,IMG_20150711_205331.jpg,LOTUS ESPRIT S1,,HW WORKSHOP 2015 - HW GARAGE,RED,2015,4/10,,,,,PDigwodDLwByNXtBS
CFJ75,IMG_20150701_CFJ75,70 CHEVY CHEVELLE,,HW WORKSHOP 2015 - SPEED TEAM,BURGANDY,2015,,,,,,PDigwodDLwByNXtBS
CFK18,IMG_20150701_CFK18,THE HOMER,,HW CITY 2015 - TOONED,GREEN,2015,,,,,,PDigwodDLwByNXtBS
CFK21,IMG_20150706_211130, BATMOBILE (THE BRAVE AND THE BOLD),,HW CITY 2015 - BATMAN,BLACK,2015,3/5,,,,,PDigwodDLwByNXtBS
CFK32,IMG_20150717_181357.jpg,2008 LANCER EVOLUTION,,HW OFF-ROAD  2015 - ROAD RALLY,GREY,2015,,,,,,PDigwodDLwByNXtBS
CFK35,567,MORRIS MINI,,HW OFF-ROAD 2015 - ROAD RALLY,ORANGE,2015,,,,,,PDigwodDLwByNXtBS
