dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy,dc_date_added
CFK51,http://static.christanfergus.com/images/diecast/IMG_20150711_204942.jpg,HOT WHEELS FORD TRANSIT CONNECT,2A,HW OFF ROAD 2015 - HOT WHEELS TEST FACILITY,RED,2015,3/5/2015,,,,,PDigwodDLwByNXtBS,
18852,http://static.christanfergus.com/images/diecast/IMG_20150711_205012.jpg,PORSCHE 911 GT1-98,1A,1999 FIRST EDITIONS,WHITE,1999,25/26,676,TRUE,,,PDigwodDLwByNXtBS,
CFH48,http://static.christanfergus.com/images/diecast/IMG_20150711_205110.jpg,83 CHEVY SILVERADO,2A,HW CITY 2015 - HW PERFORMANCE,ORANGE,2015,6/10/2015,,,,,PDigwodDLwByNXtBS,
CFL73,http://static.christanfergus.com/images/diecast/IMG_20150711_205146.jpg,MORRIS MINI,2A,HW OFF-ROAD 2015 - ROAD RALLY,LT BLUE,2015,5/5/2015,,,,,PDigwodDLwByNXtBS,
CFL39,http://static.christanfergus.com/images/diecast/IMG_20150711_205244.jpg,LAMBORGHINI HURACAN LP 610-4,2A,HW WORKSHOP 2015 - HW GARAGE,GREEN,2015,7/10/2015,,,,,PDigwodDLwByNXtBS,
CFJ18,http://static.christanfergus.com/images/diecast/IMG_20150711_205307.jpg,69 CAMARO,2A,HW WORKSHOP 2015 - THEN AND NOW,WHITE,2015,1/10/2015,,,,,PDigwodDLwByNXtBS,
CFH77,http://static.christanfergus.com/images/diecast/IMG_20150711_205352.jpg,68 MERCURY COUGAR,2A,HW RACE 2015 - TRACK ACES,BLUE,2015,,,,,,PDigwodDLwByNXtBS,
CFH49,http://static.christanfergus.com/images/diecast/IMG_20150711_205415.jpg,71 EL CAMINO,2A,HW CITY 2015 - HW PERFORMANCE,BLACK,2015,,,,,,PDigwodDLwByNXtBS,
CFL45,http://static.christanfergus.com/images/diecast/IMG_20150711_205435.jpg,BATMOBILE,2A,HW CITY 2015 - BATMAN,BLACK,2015,2/5/2015,,,BATMAN THE BRAVE & THE BOLD,,PDigwodDLwByNXtBS,
CFG82,http://static.christanfergus.com/images/diecast/IMG_20150711_205457.jpg,BATMAN: ARKHAM KNIGHT BATMOBILE,2A,HW CITY 2015 - BATMAN,BLACK,2015,1/5/2015,,,BATMAN: ARKHAM KNIGHT,,PDigwodDLwByNXtBS,
CFH38,http://static.christanfergus.com/images/diecast/IMG_20150711_205519.jpg,8 CRATE,2A,HW WORKSHOP 2015 - HW GARAGE,MAROON,2015,,,,,,PDigwodDLwByNXtBS,
CFH95,http://static.christanfergus.com/images/diecast/IMG_20150711_205544.jpg,PASS 'N GASSER,2A,HW WORKSHOP 2015 - HEAT FLEET,BLUE,2015,,,,,,PDigwodDLwByNXtBS,
BDT89,http://static.christanfergus.com/images/diecast/IMG_20150717_181247.jpg,1987 TOYOTA PICKUP,M1,BACK TO THE FUTURE,BLACK,2014,,,TRUE,,,PDigwodDLwByNXtBS,
CFH93,http://static.christanfergus.com/images/diecast/IMG_20150717_181329.jpg,55 CHEVY BEL AIR GASSER,2A,HW WORKSHOP 2015 - HEAT FLEET,ORANGE,2015,,,,,,PDigwodDLwByNXtBS,
CFK32,http://static.christanfergus.com/images/diecast/IMG_20150717_181357.jpg,2008 LANCER EVOLUTION,2A,HW OFF-ROAD  2015 - ROAD RALLY,GREY,2015,,,,,,PDigwodDLwByNXtBS,
CFH36,http://static.christanfergus.com/images/diecast/IMG_20150717_181435.jpg,09 CORVETTE ZR1,2A,HW CITY 2015 - HW PERFORMANCE,BLUE,2015,,,,GULF LIVERY,,PDigwodDLwByNXtBS,
CFH03,http://static.christanfergus.com/images/diecast/IMG_20150718_152813.jpg,TESLSA MODEL S,2A,HW WORKSHOP 2015 - HW GARAGE,SILVER,2015,,,,,,PDigwodDLwByNXtBS,
21073,http://static.christanfergus.com/images/diecast/IMG_20150718_152837.jpg,MERCEDES CLK-LM,1A,1999 FIRST EDITIONS,SILVER,1999,26/26,926,TRUE,,,PDigwodDLwByNXtBS,
CFL46,http://static.christanfergus.com/images/diecast/IMG_20150718_152900.jpg,BATMAN LIVE! BATMOBILE,2A,HW CITY 2015 - BATMAN,BLACK,2015,,,,BATMAN LIVE! BATMOBILE,,PDigwodDLwByNXtBS,
21068,http://static.christanfergus.com/images/diecast/IMG_20150721_202141.jpg,FORD GT-40,1A,1999 FIRST EDITIONS,BLUE,1999,16/26,921,TRUE,,,PDigwodDLwByNXtBS,
CFH64,http://static.christanfergus.com/images/diecast/IMG_20150722_204205.jpg,U.S.S. ENTERPRISE NCC-1701,2A,HW CITY 2015 - HW SPACE TEAM,WHITE,2015,,,,,,PDigwodDLwByNXtBS,
52938,http://static.christanfergus.com/images/diecast/IMG_20150722_204236.jpg,LANCIA STRATOS,1A,2002 FIRST EDITIONS,RED,2002,25/42,37,,,,PDigwodDLwByNXtBS,
BFD84,http://static.christanfergus.com/images/diecast/IMG_20150722_204303.jpg,1971 MUSTANG MACH 1,3A,HW CITY 2014 - MUSTANG 50TH,GOLD,2014,,,,,,PDigwodDLwByNXtBS,
CFK72,http://static.christanfergus.com/images/diecast/IMG_20150722_204330.jpg,DATSUN 620,2A,HW OFF-ROAD 2015 - HW HOT TRUCKS,GREEN,2015,,,,,,PDigwodDLwByNXtBS,
CFH22,http://static.christanfergus.com/images/diecast/IMG_20150722_204352.jpg,69 DODGE CHARGER 500,2A,HW CITY 2015 - HW PERFORMANCE,BLUE,2015,,,,,,PDigwodDLwByNXtBS,
CFM17,http://static.christanfergus.com/images/diecast/IMG_20150722_204413.jpg,70 PLYMOUTH AAR CUDA,2A,HW WORKSHOP 2015 - NIGHT BURNERZ,GREEN,2015,,,,,,PDigwodDLwByNXtBS,
CFJ08,http://static.christanfergus.com/images/diecast/IMG_20150722_204435.jpg,69 CHEVELLE SS 396,2A,HW WORKSHOP 2015 - MUSCLE MANIA,WHITE,2015,,,,,,PDigwodDLwByNXtBS,
CFH41,http://static.christanfergus.com/images/diecast/IMG_20150722_204456.jpg,69 FORD MUSTANG BOSS 302,2A,HW WORKSHOP 2015 - SPEED TEAM,ORANGE,2015,,,,,,PDigwodDLwByNXtBS,
CFH16,http://static.christanfergus.com/images/diecast/IMG_20150726_152048.jpg,90 ACURA NSX,2A,HW WORKSHOP 2015 - HW GARAGE,RED,2015,,,TRUE,,,PDigwodDLwByNXtBS,
CMJ29,http://static.christanfergus.com/images/diecast/IMG_20150726_152117.jpg,COCKNEY CAB II,1A,TOM AND JERRY,GREEN/WHITE,2015,1/6/2015,,,,,PDigwodDLwByNXtBS,
